IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
121.158.231.203,10007,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,521,2.31
121.190.128.166,16036,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,532,2.30
119.203.175.63,12220,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,516,2.28
125.143.17.8,11434,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,490,2.17
222.113.18.214,30033,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,516,2.14
221.144.5.24,30012,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,495,2.10
121.190.128.166,12345,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,495,2.09
118.42.9.31,12433,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,544,2.05
125.142.232.222,30011,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,489,2.03
220.86.228.109,12571,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,573,1.98
14.44.107.239,20202,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,526,1.92
59.23.167.64,10037,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,530,1.83
211.224.115.109,10084,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,601,1.77
121.143.250.159,12137,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,512,1.77
221.145.90.29,10000,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,481,1.70
211.224.41.4,30012,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,520,1.64
43.153.27.243,2020,TRUE,SJC,US,North America,San Jose,132203,"Tencent Building, Kejizhongyi Avenue",434,1.62
221.157.238.95,12500,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,520,1.57
13.52.251.56,8444,TRUE,SJC,US,North America,San Jose,16509,AMAZON-02,456,1.52
59.22.136.160,10042,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,525,1.46
121.190.128.166,18090,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,542,1.43
220.88.191.218,30031,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,492,1.43
59.3.87.55,22222,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,577,1.39
61.77.9.219,23084,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,585,1.35
125.133.233.48,30046,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,511,1.34
43.153.16.136,4333,TRUE,SJC,US,North America,San Jose,132203,"Tencent Building, Kejizhongyi Avenue",427,1.28
210.91.8.234,30042,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,522,1.27
121.168.236.190,30027,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,491,1.25
121.149.79.191,12329,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,558,1.03
107.173.147.116,10324,TRUE,SJC,US,North America,San Jose,36352,AS-COLOCROSSING,519,0.92
211.55.202.96,11310,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,558,0.91
59.187.242.236,12363,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,990,0.76
175.125.207.253,13980,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,137,0.65
175.125.207.253,20121,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,144,0.65
192.227.148.141,8445,TRUE,SJC,US,North America,San Jose,36352,AS-COLOCROSSING,644,0.60
59.187.242.236,24442,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,703,0.56
64.23.181.202,443,TRUE,SJC,US,North America,San Jose,14061,DIGITALOCEAN-ASN,483,0.52
174.136.206.95,57757,TRUE,SJC,US,North America,San Jose,906,DMIT,487,0.50
59.187.242.236,10041,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,709,0.49
59.187.242.236,12419,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,712,0.49
59.187.242.236,16401,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,680,0.45
59.187.242.236,10255,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,690,0.43
198.23.254.51,443,TRUE,SJC,US,North America,San Jose,36352,AS-COLOCROSSING,514,0.43
59.187.242.236,10093,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,699,0.40
59.187.242.236,12284,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,673,0.39
128.1.18.29,443,TRUE,SJC,US,North America,San Jose,21859,ZEN-ECN,357,0.38
59.187.242.236,34568,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,718,0.37
104.168.28.65,443,TRUE,SJC,US,North America,San Jose,36352,AS-COLOCROSSING,493,0.37
59.187.242.236,17770,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,995,0.35
104.168.94.121,12417,TRUE,SJC,US,North America,San Jose,36352,AS-COLOCROSSING,512,0.32
107.173.83.158,443,TRUE,SJC,US,North America,San Jose,36352,AS-COLOCROSSING,601,0.30
192.9.159.65,443,TRUE,SJC,US,North America,San Jose,31898,ORACLE-BMC-31898,443,0.28
23.94.208.154,53485,TRUE,SJC,US,North America,San Jose,36352,AS-COLOCROSSING,490,0.25
59.187.242.236,12296,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,980,0.16
192.9.241.4,34237,TRUE,SJC,US,North America,San Jose,31898,ORACLE-BMC-31898,816,0.14
43.153.103.203,443,TRUE,SJC,US,North America,San Jose,132203,"Tencent Building, Kejizhongyi Avenue",462,0.12
59.187.242.236,12578,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,689,0.12
114.95.197.178,30019,TRUE,SJC,US,North America,San Jose,4812,China Telecom Group,450,0.10
104.168.102.121,2053,TRUE,SJC,US,North America,San Jose,36352,AS-COLOCROSSING,555,0.10
58.239.203.25,21299,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,191,0.09
144.24.80.56,443,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,354,0.09
156.146.53.83,443,TRUE,SJC,US,North America,San Jose,60068,Datacamp Limited,499,0.07
192.169.127.184,443,TRUE,SJC,US,North America,San Jose,21859,ZEN-ECN,354,0.06
192.9.132.79,443,TRUE,SJC,US,North America,San Jose,31898,ORACLE-BMC-31898,427,0.04
43.153.36.243,15555,TRUE,SJC,US,North America,San Jose,132203,"Tencent Building, Kejizhongyi Avenue",831,0.04
47.57.245.232,443,TRUE,SJC,US,North America,San Jose,45102,"Alibaba US Technology Co., Ltd.",618,0.04
23.94.223.102,8443,TRUE,SJC,US,North America,San Jose,36352,AS-COLOCROSSING,685,0.03
104.168.102.121,8443,TRUE,SJC,US,North America,San Jose,36352,AS-COLOCROSSING,548,0.02
107.173.86.75,2053,TRUE,SJC,US,North America,San Jose,36352,AS-COLOCROSSING,602,0.01
