IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
146.56.44.85,443,true,NRT,Asia Pacific,Tokyo,47 ms,21204 kB/s
47.88.85.197,443,true,SJC,North America,San Jose,216 ms,16142 kB/s
192.9.224.194,443,true,SJC,North America,San Jose,213 ms,12596 kB/s
150.230.34.116,443,true,SJC,North America,San Jose,133 ms,12028 kB/s
155.248.202.141,443,true,SJC,North America,San Jose,149 ms,11593 kB/s
192.18.134.22,443,true,SJC,North America,San Jose,156 ms,11581 kB/s
155.248.196.123,443,true,YVR,North America,Vancouver,129 ms,10864 kB/s
129.146.248.140,443,true,LAX,North America,Los Angeles,237 ms,10540 kB/s
168.138.66.11,443,true,YYZ,North America,Toronto,216 ms,8785 kB/s
140.238.158.238,443,true,YYZ,North America,Toronto,197 ms,8713 kB/s
141.148.229.106,443,true,AMS,Europe,Amsterdam,302 ms,7805 kB/s
144.24.161.124,443,true,FRA,Europe,Frankfurt,216 ms,7715 kB/s
150.136.241.40,443,true,IAD,North America,Ashburn,201 ms,7646 kB/s
168.138.71.220,443,true,YYZ,North America,Toronto,212 ms,7598 kB/s
204.216.218.114,443,true,MRS,Europe,Marseille,314 ms,7564 kB/s
138.2.168.210,443,true,FRA,Europe,Frankfurt,216 ms,7468 kB/s
141.147.111.120,443,true,FRA,Europe,Frankfurt,221 ms,7231 kB/s
132.226.128.217,443,true,FRA,Europe,Frankfurt,324 ms,7230 kB/s
141.147.99.136,443,true,FRA,Europe,Frankfurt,223 ms,7224 kB/s
132.226.130.61,443,true,FRA,Europe,Frankfurt,323 ms,7195 kB/s
130.162.161.141,443,true,FRA,Europe,Frankfurt,323 ms,7166 kB/s
138.2.154.91,443,true,FRA,Europe,Frankfurt,220 ms,7152 kB/s
141.148.247.100,443,true,FRA,Europe,Frankfurt,302 ms,7113 kB/s
141.147.32.254,443,true,FRA,Europe,Frankfurt,317 ms,7064 kB/s
193.122.15.114,443,true,FRA,Europe,Frankfurt,218 ms,7062 kB/s
141.147.112.157,443,true,FRA,Europe,Frankfurt,237 ms,7047 kB/s
143.47.255.204,443,true,FRA,Europe,Frankfurt,227 ms,7046 kB/s
193.122.52.5,443,true,FRA,Europe,Frankfurt,240 ms,6998 kB/s
141.147.93.187,443,true,FRA,Europe,Frankfurt,314 ms,6856 kB/s
140.238.126.142,443,true,FRA,Europe,Frankfurt,235 ms,6827 kB/s
193.123.35.138,443,true,FRA,Europe,Frankfurt,249 ms,6825 kB/s
141.144.254.131,443,true,FRA,Europe,Frankfurt,299 ms,6812 kB/s
141.147.93.7,443,true,FRA,Europe,Frankfurt,323 ms,6796 kB/s
8.209.90.213,443,true,FRA,Europe,Frankfurt,238 ms,6686 kB/s
141.144.207.208,443,true,FRA,Europe,Frankfurt,323 ms,6585 kB/s
141.147.119.158,443,true,FRA,Europe,Frankfurt,248 ms,6547 kB/s
158.101.208.119,443,true,FRA,Europe,Frankfurt,300 ms,6537 kB/s
130.162.166.84,443,true,FRA,Europe,Frankfurt,250 ms,6375 kB/s
129.159.250.52,443,true,FRA,Europe,Frankfurt,248 ms,6368 kB/s
141.147.35.82,443,true,FRA,Europe,Frankfurt,325 ms,6359 kB/s
141.147.119.56,443,true,FRA,Europe,Frankfurt,224 ms,6350 kB/s
141.147.8.133,443,true,FRA,Europe,Frankfurt,317 ms,6238 kB/s
138.3.252.214,443,true,FRA,Europe,Frankfurt,317 ms,6233 kB/s
192.9.180.162,443,true,SYD,Oceania,Sydney,382 ms,6079 kB/s
138.3.252.209,443,true,FRA,Europe,Frankfurt,318 ms,6026 kB/s
143.47.182.223,443,true,FRA,Europe,Frankfurt,224 ms,6017 kB/s
